age_group,gender,college_year,monthly_budget_range,monthly_budget_exact,income_source,primary_upi_app,weekly_tx_range,weekly_tx_count,pct_unplanned,impulse_time,balance_check_habit,trigger_boredom,trigger_fomo,trigger_latenight,trigger_cashback,trigger_stress_relief,trigger_scarcity_notif,trigger_cart_abandon,trigger_exam_season,regret_frequency,regret_categories,regret_other_text,post_regret_action,regret_intensity,hidden_purchase,tracks_expenses,ran_out_of_money,perceives_upi_risky,upi_usage_reason,regret_description,respondent_id
22-25,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),5.0,40-60% (Mostly it on the food),Evening;Late Night (10PM - 2AM);Post Midnight,Always (I am disciplined and boring),1,1,3,3,4,2,1,2,1-2 times,"Online shopping (Myntra, Meesho, Amazon, Flipkart)",,See my expense and feel worse (No place for move on),8,Maybe (don't want to accept it),"I try, but give up by one or two week (Relatable)","Yes, regularly",Yes,I feel comfortable using UPI,"Bought a pair of earrings from online, the delivery product was damaged with no return or exchange options, it was a sad day. I was super excited when buying it as I really liked the product and it was right in my budget so I made the purchase almost immediately. ",2010
25+ (Senior citizen of college life),Male,Ug,₹6000+ (Force fully leaving in the college hostel),,I run a side hustle / freelance / small business,Amazon Pay,8-15 (The apps know your face by now),4.0,40-60% (Mostly it on the food),Morning,Sometimes (When I remember I'm poor),5,4,3,4,3,3,4,4,1-2 times,"Blinkit / Instamart;Subscriptions (Netflix, Spotify, Prime);Gaming",,Tell to friend (and force them to buy also),7,No (we don't believe),Yes (I use an app or diary for it),Rarely,Yes,I am afraid that I might lose cash.,,2011
22-25,Male,Pg,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,Google Pay (GPay),8-15 (The apps know your face by now),,40-60% (Mostly it on the food),Late Night (10PM - 2AM),Never (Pls check it for yourself),5,5,5,3,2,2,4,2,3-5 times,"Food delivery (Swiggy / Zomato);Blinkit / Instamart;Subscriptions (Netflix, Spotify, Prime)",,Tell to friend (and force them to buy also),5,,"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,I feel comfortable using UPI,,2012
18-21,Female,Pg,₹1000 - ₹3000 (Mess food is not enough for me),,100% Parents Money,PhonePe,4-7 (Okay this is reasonable ),,20-40% (Understandable),Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),3,3,4,3,4,3,3,3,3-5 times,"Online shopping (Myntra, Meesho, Amazon, Flipkart)",,Return it (not possible because already ate the ice cream),5,No (we don't believe),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",No,I am afraid that I might lose cash.,,2013
22-25,Male,Pg,₹1000 - ₹3000 (Mess food is not enough for me),2250.0,100% Parents Money,PhonePe,4-7 (Okay this is reasonable ),5.0,20-40% (Understandable),Afternoon,Never (Pls check it for yourself),1,2,1,2,1,3,3,2,Never,"Online shopping (Myntra, Meesho, Amazon, Flipkart)",,Accept it or move on (aaj tak nahi huva),5,Yes (don't worry many of us does),Yes (I use an app or diary for it),"Yes, Occasionally",Yes,I feel comfortable using UPI,,2014
18-21,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2250.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,20-40% (Understandable),Late Night (10PM - 2AM),Sometimes (When I remember I'm poor),1,1,1,3,1,1,1,1,3-5 times,Gadgets / Accessories,,Accept it or move on (aaj tak nahi huva),5,Yes (don't worry many of us does),Yes (I use an app or diary for it),"Yes, Occasionally",Yes,Because shops does not accept cash,,2015
18-21,Female,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,100% Parents Money,PhonePe,1-3 (No comments),,Less than 20% (its a lie),Afternoon,Always (I am disciplined and boring),3,3,1,1,5,1,1,1,Never,Other,,Accept it or move on (aaj tak nahi huva),1,No (we don't believe),"No, I need some surprise in life",Never (teach us your ways),No,Because shops does not accept cash,,2016
Under 18,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,100% Parents Money,PhonePe,1-3 (No comments),2.0,40-60% (Mostly it on the food),Evening,Always (I am disciplined and boring),1,1,1,2,2,1,1,1,1-2 times,Blinkit / Instamart,,Accept it or move on (aaj tak nahi huva),8,No (we don't believe),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,Cash mostly ,"I bought a cancan skirt , I needed it but it wasn't so comfortable.",2017
18-21,Female,Ug,₹3000 - ₹6000 (I need to go out of this campus),,100% Parents Money,PhonePe,15+ (You are the reason companies are profitable ),,40-60% (Mostly it on the food),Afternoon,Sometimes (When I remember I'm poor),1,3,1,1,1,1,1,3,3-5 times,"Food delivery (Swiggy / Zomato);Blinkit / Instamart;Online shopping (Myntra, Meesho, Amazon, Flipkart)",,See my expense and feel worse (No place for move on),7,No (we don't believe),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,I am afraid that I might lose cash.,,2018
18-21,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),500.0,100% Parents Money,Google Pay (GPay),1-3 (No comments),2.0,20-40% (Understandable),Morning,Always (I am disciplined and boring),1,1,1,1,1,1,1,1,Never,Other,,Buy Something else to feel better,1,No (we don't believe),"No, I need some surprise in life",Rarely,I never taught about this,I used upi when I don't have cash ,,2019
18-21,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),,I have an internship / part-time job,Paytm,4-7 (Okay this is reasonable ),,20-40% (Understandable),Morning,Sometimes (When I remember I'm poor),2,2,5,3,3,1,1,5,1-2 times,Blinkit / Instamart,,Accept it or move on (aaj tak nahi huva),7,No (we don't believe),Yes (I use an app or diary for it),"Yes, regularly",Yes,I am afraid that I might lose cash.,,2020
18-21,Female,Ug,₹3000 - ₹6000 (I need to go out of this campus),,100% Parents Money,Google Pay (GPay),1-3 (No comments),3.0,20-40% (Understandable),Afternoon,Always (I am disciplined and boring),1,1,1,1,1,1,1,1,3-5 times,"Online shopping (Myntra, Meesho, Amazon, Flipkart);Subscriptions (Netflix, Spotify, Prime);Gaming",,See my expense and feel worse (No place for move on),6,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)",Rarely,I never taught about this,I am afraid that I might lose cash.,,2021
22-25,Female,Ug,₹6000+ (Force fully living in the college hostel),900.0,Mix of parents + I earn something on the side,PhonePe,4-7 (Okay this is reasonable ),,Less than 20% (its a lie),Evening,Always (I am disciplined and boring),1,3,1,3,2,3,3,3,1-2 times,"Blinkit / Instamart;Online shopping (Myntra, Meesho, Amazon, Flipkart)",,Return it (not possible because already ate the ice cream),3,No (we don't believe),Yes (I use an app or diary for it),"Yes, Occasionally",Yes,I feel comfortable using UPI,,2022
18-21,Female,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,100% Parents Money,PhonePe,1-3 (No comments),,Less than 20% (its a lie),Evening,Always (I am disciplined and boring),3,1,3,2,2,1,2,1,1-2 times,Blinkit / Instamart,,Accept it or move on (aaj tak nahi huva),8,Maybe (don't want to accept it),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",No,I feel comfortable using UPI,,2023
18-21,Female,Ug,Less than ₹1000 (Enjoy hostel Wi-Fi and mess food),,100% Parents Money,PhonePe,1-3 (No comments),,Less than 20% (its a lie),Late Night (10PM - 2AM),Always (I am disciplined and boring),5,2,4,3,2,1,1,3,1-2 times,Food delivery (Swiggy / Zomato),,Accept it or move on (aaj tak nahi huva),10,Yes (don't worry many of us does),Yes (I use an app or diary for it),"Yes, Occasionally",No,I feel comfortable using UPI,,2024
22-25,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),3000.0,100% Parents Money,Google Pay (GPay),4-7 (Okay this is reasonable ),,60-80% (Probably you love everything you see online),Morning;Afternoon;Evening,Always (I am disciplined and boring),1,1,1,1,1,1,1,1,1-2 times,In college cafe's and normal shops,,Accept it or move on (aaj tak nahi huva),2,No (we don't believe),Yes (I use an app or diary for it),Rarely,Yes,I am afraid that I might lose cash.,,2025
22-25,Female,Ug,₹6000+ (Force fully living in the college hostel),7000.0,I run a side hustle / freelance / small business,PhonePe,8-15 (The apps know your face by now),15.0,20-40% (Understandable),Evening,Sometimes (When I remember I'm poor),1,1,1,1,5,1,1,1,Never,In college cafe's and normal shops,,Return it (not possible because already ate the ice cream),2,Yes (don't worry many of us does),"I try, but give up by one or two week (Relatable)","Yes, Occasionally",Yes,I feel comfortable using UPI,Recently I purchased a trouser online from UPI and now I regret it because it did not work well.,2026
18-21,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),3100.0,100% Parents Money,Google Pay (GPay),8-15 (The apps know your face by now),15.0,40-60% (Mostly it on the food),Evening,Sometimes (When I remember I'm poor),1,4,2,1,2,2,2,2,1-2 times,"Subscriptions (Netflix, Spotify, Prime);Gaming",,Accept it or move on (aaj tak nahi huva),4,No (we don't believe),"I try, but give up by one or two week (Relatable)",Rarely,Yes,I feel comfortable using UPI,,2027
18-21,Female,Pg,₹1000 - ₹3000 (Mess food is not enough for me),3000.0,100% Parents Money,PhonePe,1-3 (No comments),3.0,40-60% (Mostly it on the food),Evening,"I check, feel sad, and buy anyway",1,1,1,1,1,1,1,1,1-2 times,Food delivery (Swiggy / Zomato),,Accept it or move on (aaj tak nahi huva),3,No (we don't believe),"I try, but give up by one or two week (Relatable)","Yes, regularly",Yes,I feel comfortable using UPI,,2028
18-21,Female,Ug,₹1000 - ₹3000 (Mess food is not enough for me),2000.0,I run a side hustle / freelance / small business,Paytm,4-7 (Okay this is reasonable ),5.0,40-60% (Mostly it on the food),Evening,Sometimes (When I remember I'm poor),5,1,1,3,1,1,1,1,1-2 times,"Online shopping (Myntra, Meesho, Amazon, Flipkart)",,Accept it or move on (aaj tak nahi huva),2,Yes (don't worry many of us does),Yes (I use an app or diary for it),"Yes, Occasionally",Yes,"Cash is unhygienic to touch, so it's better to have cashless transactions","None, didnt have enough money after spending on food. No regrets ever for food.",2029
